Dataset,n,Neighbour,Temperature,T0,Alpha,Best Energy,Iterations
uniform_points,10,consecutive_neighbour,linear_temperature,10,0.99,436.64614810400553,132
uniform_points,10,consecutive_neighbour,linear_temperature,10,0.9,436.6461481040054,128
uniform_points,10,consecutive_neighbour,linear_temperature,10,0.8,436.6461481040054,138
uniform_points,10,consecutive_neighbour,linear_temperature,10,0.5,466.4723418037138,121
uniform_points,10,consecutive_neighbour,linear_temperature,10,0.3,345.5924632664113,125
uniform_points,10,consecutive_neighbour,linear_temperature,100,0.99,387.83811094927165,199
uniform_points,10,consecutive_neighbour,linear_temperature,100,0.9,345.59246326641073,199
uniform_points,10,consecutive_neighbour,linear_temperature,100,0.8,466.5757074875545,225
uniform_points,10,consecutive_neighbour,linear_temperature,100,0.5,457.62028134832883,293
uniform_points,10,consecutive_neighbour,linear_temperature,100,0.3,435.3698567598369,430
uniform_points,10,consecutive_neighbour,linear_temperature,1000,0.99,348.5201013746329,1000
uniform_points,10,consecutive_neighbour,linear_temperature,1000,0.9,420.79133545119794,1000
uniform_points,10,consecutive_neighbour,linear_temperature,1000,0.8,433.1051290955665,1000
uniform_points,10,consecutive_neighbour,linear_temperature,1000,0.5,417.00836839789565,1000
uniform_points,10,consecutive_neighbour,linear_temperature,1000,0.3,417.0083683978975,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,10,0.99,474.40039195606425,205
uniform_points,10,consecutive_neighbour,logarytmic_temperature,10,0.9,436.64614810400553,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,10,0.8,436.37323366767,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,10,0.5,433.46012372311276,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,10,0.3,434.7211250827961,204
uniform_points,10,consecutive_neighbour,logarytmic_temperature,100,0.99,345.59246326641016,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,100,0.9,345.59246326641096,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,100,0.8,436.37323366766987,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,100,0.5,345.59246326641187,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,100,0.3,345.59246326641056,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,1000,0.99,375.0343389530821,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,1000,0.9,387.83811094927245,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,1000,0.8,408.72990196934876,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,1000,0.5,370.33896936963896,1000
uniform_points,10,consecutive_neighbour,logarytmic_temperature,1000,0.3,417.08926138463454,1000
uniform_points,10,consecutive_neighbour,exponentional_temperature,10,0.99,482.72586836678676,529
uniform_points,10,consecutive_neighbour,exponentional_temperature,10,0.9,345.5924632664113,182
uniform_points,10,consecutive_neighbour,exponentional_temperature,10,0.8,456.57848882297066,135
uniform_points,10,consecutive_neighbour,exponentional_temperature,10,0.5,472.4134135756451,120
uniform_points,10,consecutive_neighbour,exponentional_temperature,10,0.3,450.1374555902741,119
uniform_points,10,consecutive_neighbour,exponentional_temperature,100,0.99,345.59246326641056,494
uniform_points,10,consecutive_neighbour,exponentional_temperature,100,0.9,454.6926432401099,153
uniform_points,10,consecutive_neighbour,exponentional_temperature,100,0.8,436.48673638513935,145
uniform_points,10,consecutive_neighbour,exponentional_temperature,100,0.5,387.51253038278253,119
uniform_points,10,consecutive_neighbour,exponentional_temperature,100,0.3,514.5602793365406,103
uniform_points,10,consecutive_neighbour,exponentional_temperature,1000,0.99,345.59246326641136,750
uniform_points,10,consecutive_neighbour,exponentional_temperature,1000,0.9,345.59246326641124,191
uniform_points,10,consecutive_neighbour,exponentional_temperature,1000,0.8,456.57848882297077,157
uniform_points,10,consecutive_neighbour,exponentional_temperature,1000,0.5,345.59246326641136,140
uniform_points,10,consecutive_neighbour,exponentional_temperature,1000,0.3,461.83407734671215,196
uniform_points,10,arbitrary_neighbour,linear_temperature,10,0.99,345.59246326641124,164
uniform_points,10,arbitrary_neighbour,linear_temperature,10,0.9,384.2870880516241,120
uniform_points,10,arbitrary_neighbour,linear_temperature,10,0.8,345.5924632664114,243
uniform_points,10,arbitrary_neighbour,linear_temperature,10,0.5,345.5924632664113,248
uniform_points,10,arbitrary_neighbour,linear_temperature,10,0.3,345.5924632664112,214
uniform_points,10,arbitrary_neighbour,linear_temperature,100,0.99,345.5924632664106,248
uniform_points,10,arbitrary_neighbour,linear_temperature,100,0.9,345.5924632664114,352
uniform_points,10,arbitrary_neighbour,linear_temperature,100,0.8,345.59246326641136,227
uniform_points,10,arbitrary_neighbour,linear_temperature,100,0.5,345.5924632664115,354
uniform_points,10,arbitrary_neighbour,linear_temperature,100,0.3,345.5924632664113,498
uniform_points,10,arbitrary_neighbour,linear_temperature,1000,0.99,361.86051799314873,1000
uniform_points,10,arbitrary_neighbour,linear_temperature,1000,0.9,427.3945792533984,1000
uniform_points,10,arbitrary_neighbour,linear_temperature,1000,0.8,390.4941308194475,1000
uniform_points,10,arbitrary_neighbour,linear_temperature,1000,0.5,424.19949653405536,1000
uniform_points,10,arbitrary_neighbour,linear_temperature,1000,0.3,384.28708805162546,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,10,0.99,345.5924632664112,288
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,10,0.9,345.5924632664112,276
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,10,0.8,345.59246326641113,271
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,10,0.5,345.59246326641124,274
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,10,0.3,345.59246326641113,245
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,100,0.99,345.59246326641033,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,100,0.9,345.59246326641124,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,100,0.8,345.59246326641085,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,100,0.5,345.59246326641124,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,100,0.3,345.5924632664106,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,1000,0.99,386.0530201412503,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,1000,0.9,370.33896936963606,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,1000,0.8,379.5563426180153,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,1000,0.5,383.12538203303154,1000
uniform_points,10,arbitrary_neighbour,logarytmic_temperature,1000,0.3,407.2136326497748,1000
uniform_points,10,arbitrary_neighbour,exponentional_temperature,10,0.99,345.5924632664112,211
